id|inflo_chnl_id|reg_dts|질문|답변|액션|버튼|intent_id
21310570|00002d55-8acc-4f20-b5cd-30c882222abe|2026-07-01 12:53:12.654000+09:00|쿠쿠전기밥솥 10인용 내솥 스테인레스 제품 파는 모텔 가격과 사진 보내 주실수 있나요|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21323804|000ce702-ffc6-451b-9e72-cdda0b1e2198|2026-07-01 18:27:54.882000+09:00|월평트레이더 지하 식품매장 기름으로굽는호떡매장에서뿜어내는 기름안개.냄새 숨숼수없을 만큼 심해요 지하라서 외부 통기|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[1003]
21324631|000ce702-ffc6-451b-9e72-cdda0b1e2198|2026-07-01 18:49:05.970000+09:00|방금 담당자 내려오시나요|원하는 답변을 선택해 주세요.|dialogFlowButton|매장 직원 호출,입점매장 안내,이전 상담내역|[1131, 1031, 1138]
21324655|000ce702-ffc6-451b-9e72-cdda0b1e2198|2026-07-01 18:50:18.640000+09:00|이전 상담내역|이전 상담 내용이 궁금하시다면 채팅상담사를 통해 안내해 드리겠습니다|message|채팅상담|[]
21324657|000ce702-ffc6-451b-9e72-cdda0b1e2198|2026-07-01 18:50:24.196000+09:00|매장 직원 호출|고객만족센터를 방문하여 담당 직원 호출을 요청하시기 바랍니다|||[]
21306258|000deeaa-1e32-4d86-90ad-249cad33737f|2026-07-01 10:59:50.824000+09:00|매장안내|질문을 선택해 주세요.|dialogFlowButton|점포정보,편의시설,기타안내|[]
21306260|000deeaa-1e32-4d86-90ad-249cad33737f|2026-07-01 10:59:55.892000+09:00|점포정보|질문을 선택해 주세요.|dialogFlowButton|휴점일,영업시간,층별 안내,입점매장|[]
21306264|000deeaa-1e32-4d86-90ad-249cad33737f|2026-07-01 11:00:01.981000+09:00|층별 안내|"점포 안내 하단에 층별 안내를 참고하시기 바랍니다
* 매장 상황에 따라 위치 변동이 있을 수 있습니다"|webLink|점포안내|[]
21306425|000deeaa-1e32-4d86-90ad-249cad33737f|2026-07-01 11:04:48.050000+09:00|기타안내|질문을 선택해 주세요.|dialogFlowButton|장바구니 안내,지역 쓰레기봉투 및 음식물 판매,공병수거,애견동반|[]
21313848|00151d8b-99ec-4f3b-9eb4-487ee191252c|2026-07-01 14:17:17.113000+09:00|교환/환불|질문을 선택해 주세요.|dialogFlowButton|교환/환불안내,무실물/무방문 환불,상품권 환불,결제취소 입금,쓱배송 점포 환불,영수증|[]
21313850|00151d8b-99ec-4f3b-9eb4-487ee191252c|2026-07-01 14:17:18.886000+09:00|영수증|질문을 선택해 주세요.|dialogFlowButton|영수증 재발행,모바일 영수증|[]
21313852|00151d8b-99ec-4f3b-9eb4-487ee191252c|2026-07-01 14:17:20.551000+09:00|영수증 재발행|"영수증 재발행은 신세계 포인트 적립을 했을 경우, 이마트 앱에서 90일 이내 확인 가능합니다.
단, 90일 이후 영수증 발급을 원하시거나, 신세계 포인트를 적립하지 않았다면 카드 승인번호 확인 후 이마트 고객만족센터로 방문하시면 됩니다."|||[]
21305212|001f9520-2a53-4d30-b485-e0c2dca1829b|2026-07-01 10:33:51.619000+09:00|여성방수레인코트우비있나요|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21316825|0020bbb7-3f77-49fa-9604-2b9da82c859e|2026-07-01 15:42:12.201000+09:00|교환/환불|질문을 선택해 주세요.|dialogFlowButton|교환/환불안내,무실물/무방문 환불,상품권 환불,결제취소 입금,쓱배송 점포 환불,영수증|[]
21316827|0020bbb7-3f77-49fa-9604-2b9da82c859e|2026-07-01 15:42:16.330000+09:00|교환/환불안내|"교환/환불은 상품을 개봉하지 않은 정상상품에 한 해 영수증 및 결제수단 지참 후 구매하신 매장에 방문하시기 바랍니다
구입 후 30일 이내이며, 신선식품 및 냉동/냉장 식품은 7일 이내입니다.
구매 시 사용한 결제 수단으로 환불되며, 영수증을 분실하신 경우 결제하신 신용카드 혹은 포인트 적립 구매 내역 확인 후 교환 및 환불 가능합니다.
* 상품권 환불의 경우 영수증 필 참 후 30일 이내 방문하시면 가능합니다

* 대기없이 간편하게 환불을 접수할 수 있는 빠른환불 서비스를 운영 중입니다. 아래 버튼을 클릭하여 지금 바로 접수해 보세요!"|webLink|빠른 환불|[]
21320831|008e4cf8-aa8a-4ef2-a169-8766978f45b2|2026-07-01 17:14:12.689000+09:00|디지털그랩|질문 유형을 선택해 주세요.|dialogFlowButton|디지털그랩 상품문의,디지털그랩 결제문의,디지털그랩 교환/환불문의,디지털그랩 수령문의|[]
21320833|008e4cf8-aa8a-4ef2-a169-8766978f45b2|2026-07-01 17:14:15.819000+09:00|디지털그랩 상품문의|질문 유형을 선택해 주세요.|dialogFlowButton|디지털그랩 이용방법,디지털그랩 구매내역 확인방법|[]
